Time (s),Column_A,Column_B,Column_C
0,7.25,85.77221875,24.93426913
0.0004,5.860008,69.7240537,45.04531289
0.0008,7.440016,87.1996199,24.69313187
0.0012,5.140024,61.07924629,7.993479852
0.0016,6.730032,79.82923542,22.90131031
0.002,8.79004,99.54048872,39.42417542
0.0024,6.530048,77.34859614,34.57428839
0.0028,9.620056,106.6821019,26.00424356
0.0032,5.790064,68.47554553,26.65262772
0.0036,9.540072,106.0458453,27.65197952
0.004,9.85008,107.1806527,26.06198518
0.0044,7.260088,85.1605741,28.28597368
0.0048,5.120096,61.31605764,33.51368779
0.0052,6.460104,77.0053831,27.95141918
0.0056,9.730112,107.017591,18.87636721
0.006,7.21012,84.67959515,30.25156992
0.0064,7.500128,88.53457127,43.43366834
0.0068,5.130136,59.72007245,29.12044865
0.0072,6.820144,80.09110748,14.97604888
0.0076,5.890152,70.76982969,34.0220355
0.008,7.01016,82.01809353,50.69479923
0.0084,9.430168,104.8532243,29.84442746
0.0088,8.880176,99.680653,10.34020875
0.0092,9.360184,104.4193955,22.07010478
0.0096,9.360192,104.9674502,35.94417909
0.01,9.4402,104.4890391,30.43954417
0.0104,7.900208,91.80791408,18.877793
0.0108,8.740216,98.63507084,14.54855515
0.0112,9.390224,103.3587884,13.65567595
0.0116,6.630232,79.23908767,16.58946391
0.012,7.45024,86.48891739,26.75532809
0.0124,9.710248,106.357401,31.50460367
0.0128,5.910256,70.92552306,18.48523823
0.0132,7.800264,90.04253017,4.806199088
0.0136,7.120272,84.28666316,20.80542127
0.014,5.21028,60.88769779,45.78304245
0.0144,5.890288,70.34943833,34.21940096
0.0148,5.000296,59.59756976,9.190475344
0.0152,5.280304,62.71869841,17.29445701
0.0156,6.300312,75.38798221,37.52497722
0.016,6.05032,71.75054594,30.74142212
0.0164,6.590328,77.8570692,16.92737389
0.0168,7.260336,85.6072117,22.94223291
0.0172,5.720344,68.32251919,28.42343428
0.0176,6.910352,80.7538955,23.16164701
0.018,7.17036,85.15033102,23.21129519
0.0184,8.660368,98.92721338,28.09339083
0.0188,8.660376,98.36528033,27.14678566
0.0192,5.910384,69.23703577,24.88207187
0.0196,8.010392,92.52636278,33.74638779
0.02,7.0504,82.31896739,43.04786224
0.0204,8.200408,95.58124618,32.88224259
0.0208,7.230416,84.36944971,18.52115892
0.0212,8.440424,97.53211083,30.78850372
0.0216,8.610432,97.31880819,54.13612112
0.022,8.92044,101.2397162,42.63047212
0.0224,6.300448,74.93855674,12.60609948
0.0228,7.540456,87.71772997,16.88639809
0.0232,7.560464,87.82886546,39.76079708
0.0236,6.910472,81.63221987,38.22568938
0.024,9.74048,106.688877,23.29779444
0.0244,6.540488,77.61353791,20.48143464
0.0248,9.420496,105.4035774,20.66639421
0.0252,8.100504,94.23744905,18.81833375
0.0256,7.690512,88.93132585,28.80365142
0.026,6.17052,72.38043258,37.30960703
0.0264,7.820528,90.67256087,25.33838201
0.0268,5.850536,69.42085417,10.51672638
0.0272,5.460544,63.92224828,17.58837649
0.0276,9.410552,105.1998776,35.81676132
0.028,6.72056,78.88794256,30.93922498
0.0284,6.470568,76.07120578,7.625701992
0.0288,7.330576,85.44614587,5.928126812
0.0292,7.030584,82.72907193,24.39667177
0.0296,8.120592,94.05898281,21.81166507
0.03,6.9006,80.62221819,-0.541394835
0.0304,8.490608,97.06211979,-0.051113781
0.0308,6.780616,80.6194182,16.23611665
0.0312,5.390624,63.38803519,12.30183041
0.0316,8.080632,92.73726981,2.240480926
0.032,7.99064,92.41635303,6.008075831
0.0324,7.720648,90.76557257,8.29450467
0.0328,9.110656,102.3401562,5.223813497
0.0332,6.910664,81.73233882,13.82852483
0.0336,5.330672,63.71455675,23.90126775
0.034,5.58068,66.34400699,11.18629979
0.0344,5.800688,68.24768728,-5.564697977
0.0348,9.290696,103.975411,4.547235764
0.0352,9.470704,105.3197037,27.83602403
0.0356,9.800712,106.5184085,25.90596714
0.036,6.75072,78.75409365,-1.617948015
0.0364,8.260728,96.09882894,-8.531249638
0.0368,6.390736,75.78084483,15.21831328
0.0372,5.540744,64.96421818,25.8354101
0.0376,6.680752,78.88929965,11.97161188
0.038,7.63076,89.86710663,7.043871308
0.0384,5.440768,64.12301254,15.96080745
0.0388,9.290776,104.0359712,15.80351899
0.0392,8.190784,94.9703311,17.59202912
0.0396,8.920792,100.9384729,31.37917474
0.04,7.2108,83.7898688,29.47680202
0.0404,5.020808,59.34693934,13.46910166
0.0408,5.200816,61.10670884,16.91128527
0.0412,5.910824,69.86423564,34.47095751
0.0416,5.840832,69.13386191,31.32539624
0.042,9.23084,103.7330444,11.79879692
0.0424,8.370848,97.09865202,11.6787379
0.0428,8.900856,100.4629305,28.85243567
0.0432,8.390864,96.40191898,29.48841364
0.0436,8.280872,95.1212618,8.698265343
0.044,6.35088,75.01649697,1.460681532
0.0444,6.940888,82.43541148,21.13366292
0.0448,6.080896,72.01926591,30.23463023
0.0452,5.640904,67.10150158,16.10540357
0.0456,8.540912,97.56536381,9.914597888
0.046,6.37092,74.99761268,15.73619765
0.0464,7.560928,87.50661605,14.98085772
0.0468,6.000936,71.47601647,16.766411
0.0472,8.090944,94.29948432,28.40821749
0.0476,5.970952,69.95287099,20.92819046
0.048,7.04096,82.25717347,-3.897542206
0.0484,9.460968,105.5235835,-1.193032925
0.0488,5.260976,61.83108975,24.45893329
0.0492,5.100984,60.69667238,26.36918017
0.0496,7.210992,84.78892243,1.169024032
0.05,9.601,105.5134135,-9.641287521
0.0504,8.091008,93.40608711,8.027720408
0.0508,7.741016,89.78108686,21.50091336
0.0512,6.981024,83.14420513,13.32351902
0.0516,9.141032,101.8043725,5.460640848
0.052,8.94104,100.5255957,14.09719055
0.0524,5.081048,60.24532528,20.84063112
0.0528,5.991056,71.49370679,16.09606551
0.0532,9.631064,105.8892483,20.76586017
0.0536,9.121072,101.5132741,28.58925134
0.054,5.94108,70.97155797,19.67154769
